County,FIPS,2023 Rural-Urban Continuum Codes([rural urban note]),Value (Dollars),Rank within US
"Gilchrist County, Florida",12041,Urban,56823.000000000,"1985 of 3142"
"Pulaski County, Indiana",18131,Rural,56823.000000000,"1985 of 3142"
"Long County, Georgia",13183,Urban,56819.000000000,"1987 of 3142"
"Muskingum County, Ohio",39119,Rural,56810.000000000,"1988 of 3142"
"Sutton County, Texas",48435,Rural,56778.000000000,"1989 of 3142"
"Fayette County, Ohio",39047,Rural,56773.000000000,"1990 of 3142"
"Nash County, North Carolina",37127,Urban,56770.000000000,"1991 of 3142"
"Page County, Virginia",51139,Rural,56760.000000000,"1992 of 3142"
"Tripp County, South Dakota",46123,Rural,56758.000000000,"1993 of 3142"
"Faulk County, South Dakota",46049,Rural,56734.000000000,"1994 of 3142"
"Oconee County, South Carolina",45073,Rural,56710.000000000,"1995 of 3142"
"Montgomery County, Alabama",01101,Urban,56707.000000000,"1996 of 3142"
"Newberry County, South Carolina",45071,Rural,56706.000000000,"1997 of 3142"
"Crawford County, Arkansas",05033,Urban,56702.000000000,"1998 of 3142"
"Linn County, Kansas",20107,Urban,56697.000000000,"1999 of 3142"
"Edgar County, Illinois",17045,Rural,56687.000000000,"2000 of 3142"
"Power County, Idaho",16077,Rural,56671.000000000,"2001 of 3142"
"Madison County, North Carolina",37115,Urban,56664.000000000,"2002 of 3142"
"Westmoreland County, Virginia",51193,Rural,56647.000000000,"2003 of 3142"
"Bowie County, Texas",48037,Urban,56628.000000000,"2004 of 3142"
"Jefferson County, Pennsylvania",42065,Rural,56607.000000000,"2005 of 3142"
"Haywood County, North Carolina",37087,Rural,56596.000000000,"2006 of 3142"
"Doddridge County, West Virginia",54017,Rural,56587.000000000,"2007 of 3142"
"Saginaw County, Michigan",26145,Urban,56579.000000000,"2008 of 3142"
"Boyle County, Kentucky",21021,Rural,56568.000000000,"2009 of 3142"
"Richland County, Ohio",39139,Urban,56557.000000000,"2010 of 3142"
"Mayes County, Oklahoma",40097,Rural,56552.000000000,"2011 of 3142"
"Jackson County, Ohio",39079,Rural,56549.000000000,"2012 of 3142"
"Vernon Parish, Louisiana",22115,Rural,56547.000000000,"2013 of 3142"
"Cumberland County, Virginia",51049,Rural,56497.000000000,"2014 of 3142"
"Worth County, Georgia",13321,Urban,56496.000000000,"2015 of 3142"
"Union County, Iowa",19175,Rural,56495.000000000,"2016 of 3142"
"Maries County, Missouri",29125,Rural,56491.000000000,"2017 of 3142"
"Potter County, Pennsylvania",42105,Rural,56491.000000000,"2017 of 3142"
"Owen County, Kentucky",21187,Rural,56485.000000000,"2019 of 3142"
"Garfield County, Utah",49017,Rural,56481.000000000,"2020 of 3142"
"Douglas County, Oregon",41019,Rural,56440.000000000,"2021 of 3142"
"Yuma County, Arizona",04027,Urban,56439.000000000,"2022 of 3142"
"Randolph County, North Carolina",37151,Urban,56423.000000000,"2023 of 3142"
"Lyon County, Kansas",20111,Rural,56415.000000000,"2024 of 3142"
"Matagorda County, Texas",48321,Rural,56412.000000000,"2025 of 3142"
"Aitkin County, Minnesota",27001,Rural,56406.000000000,"2026 of 3142"
"Carter County, Oklahoma",40019,Rural,56390.000000000,"2027 of 3142"
"Kalkaska County, Michigan",26079,Urban,56380.000000000,"2028 of 3142"
"Delta County, Colorado",08029,Rural,56349.000000000,"2029 of 3142"
"Perry County, Illinois",17145,Rural,56338.000000000,"2030 of 3142"
"Riley County, Kansas",20161,Urban,56327.000000000,"2031 of 3142"
"Silver Bow County, Montana",30093,Rural,56297.000000000,"2032 of 3142"
"Pawnee County, Oklahoma",40117,Urban,56279.000000000,"2033 of 3142"
"Navarro County, Texas",48349,Rural,56261.000000000,"2034 of 3142"
"Lake County, California",06033,Rural,56259.000000000,"2035 of 3142"
"Gulf County, Florida",12045,Rural,56250.000000000,"2036 of 3142"
"Valencia County, New Mexico",35061,Urban,56246.000000000,"2037 of 3142"
"Lynchburg City, Virginia",51680,Urban,56243.000000000,"2038 of 3142"
"Garza County, Texas",48169,Urban,56215.000000000,"2039 of 3142"
"Wapello County, Iowa",19179,Rural,56209.000000000,"2040 of 3142"
"Clayton County, Georgia",13063,Urban,56207.000000000,"2041 of 3142"
"Vermilion Parish, Louisiana",22113,Urban,56194.000000000,"2042 of 3142"
"Harrison County, West Virginia",54033,Rural,56184.000000000,"2043 of 3142"
"Boone County, West Virginia",54005,Urban,56182.000000000,"2044 of 3142"
"Fremont County, Colorado",08043,Rural,56165.000000000,"2045 of 3142"
"Colbert County, Alabama",01033,Urban,56149.000000000,"2046 of 3142"
"Labette County, Kansas",20099,Rural,56143.000000000,"2047 of 3142"
"Livingston County, Kentucky",21139,Urban,56125.000000000,"2048 of 3142"
"Mineral County, Montana",30061,Urban,56098.000000000,"2049 of 3142"
"Florence County, South Carolina",45041,Urban,56088.000000000,"2050 of 3142"
"Beaufort County, North Carolina",37013,Rural,56081.000000000,"2051 of 3142"
"Lauderdale County, Alabama",01077,Urban,56081.000000000,"2051 of 3142"
"Decatur County, Iowa",19053,Rural,56068.000000000,"2053 of 3142"
"Josephine County, Oregon",41033,Urban,56068.000000000,"2053 of 3142"
"Childress County, Texas",48075,Rural,56063.000000000,"2055 of 3142"
"Harrisonburg City, Virginia",51660,Urban,56050.000000000,"2056 of 3142"
"Grant County, Oregon",41023,Rural,56045.000000000,"2057 of 3142"
"Fayette County, Iowa",19065,Rural,56043.000000000,"2058 of 3142"
"Frio County, Texas",48163,Rural,56042.000000000,"2059 of 3142"
"Bleckley County, Georgia",13023,Rural,56021.000000000,"2060 of 3142"
"Cumberland County, Tennessee",47035,Rural,56002.000000000,"2061 of 3142"
"Presque Isle County, Michigan",26141,Rural,55986.000000000,"2062 of 3142"
"Perry County, Tennessee",47135,Rural,55978.000000000,"2063 of 3142"
"Union County, Mississippi",28145,Rural,55970.000000000,"2064 of 3142"
"Clay County, South Dakota",46027,Rural,55963.000000000,"2065 of 3142"
"Thomas County, Georgia",13275,Rural,55958.000000000,"2066 of 3142"
"Northumberland County, Pennsylvania",42097,Rural,55952.000000000,"2067 of 3142"
"Live Oak County, Texas",48297,Rural,55949.000000000,"2068 of 3142"
"Simpson County, Kentucky",21213,Rural,55907.000000000,"2069 of 3142"
"Freestone County, Texas",48161,Rural,55902.000000000,"2070 of 3142"
"Stone County, Mississippi",28131,Urban,55894.000000000,"2071 of 3142"
"Adams County, Idaho",16003,Rural,55891.000000000,"2072 of 3142"
"Albany County, Wyoming",56001,Rural,55887.000000000,"2073 of 3142"
"Clearwater County, Idaho",16035,Rural,55885.000000000,"2074 of 3142"
"Yell County, Arkansas",05149,Rural,55879.000000000,"2075 of 3142"
"Brown County, Kansas",20013,Rural,55876.000000000,"2076 of 3142"
"Hardin County, Ohio",39065,Rural,55876.000000000,"2076 of 3142"
"Beaverhead County, Montana",30001,Rural,55867.000000000,"2078 of 3142"
"Pamlico County, North Carolina",37137,Rural,55867.000000000,"2078 of 3142"
"Trigg County, Kentucky",21221,Urban,55864.000000000,"2080 of 3142"
"Cass County, Indiana",18017,Rural,55862.000000000,"2081 of 3142"
"St. Bernard Parish, Louisiana",22087,Urban,55857.000000000,"2082 of 3142"
"Pawnee County, Nebraska",31133,Rural,55833.000000000,"2083 of 3142"
"Bourbon County, Kansas",20011,Rural,55826.000000000,"2084 of 3142"
"Price County, Wisconsin",55099,Rural,55822.000000000,"2085 of 3142"
"Lawrence County, Illinois",17101,Rural,55811.000000000,"2086 of 3142"
"Iron County, Wisconsin",55051,Rural,55777.000000000,"2087 of 3142"
"Meagher County, Montana",30059,Rural,55753.000000000,"2088 of 3142"
"Concho County, Texas",48095,Rural,55750.000000000,"2089 of 3142"
"Gates County, North Carolina",37073,Urban,55750.000000000,"2089 of 3142"
"Sanilac County, Michigan",26151,Rural,55740.000000000,"2091 of 3142"
"Harmon County, Oklahoma",40057,Rural,55729.000000000,"2092 of 3142"
"Tippecanoe County, Indiana",18157,Urban,55728.000000000,"2093 of 3142"
"Cowley County, Kansas",20035,Rural,55726.000000000,"2094 of 3142"
"Bath County, Virginia",51017,Rural,55699.000000000,"2095 of 3142"
"Texas County, Oklahoma",40139,Rural,55682.000000000,"2096 of 3142"
"Webster County, Mississippi",28155,Rural,55657.000000000,"2097 of 3142"
"Franklin County, Nebraska",31061,Rural,55625.000000000,"2098 of 3142"
"Davison County, South Dakota",46035,Rural,55606.000000000,"2099 of 3142"
"Barry County, Missouri",29009,Rural,55592.000000000,"2100 of 3142"
"Mercer County, Missouri",29129,Rural,55592.000000000,"2100 of 3142"
"Fayette County, Pennsylvania",42051,Urban,55579.000000000,"2102 of 3142"
"Towns County, Georgia",13281,Rural,55574.000000000,"2103 of 3142"
"McCormick County, South Carolina",45065,Rural,55569.000000000,"2104 of 3142"
"Rhea County, Tennessee",47143,Rural,55568.000000000,"2105 of 3142"
"Keweenaw County, Michigan",26083,Rural,55560.000000000,"2106 of 3142"
"Forest County, Wisconsin",55041,Rural,55552.000000000,"2107 of 3142"
"Cumberland County, North Carolina",37051,Urban,55551.000000000,"2108 of 3142"
"Calhoun County, South Carolina",45017,Urban,55550.000000000,"2109 of 3142"
"Mitchell County, North Carolina",37121,Rural,55534.000000000,"2110 of 3142"
"Gallia County, Ohio",39053,Rural,55533.000000000,"2111 of 3142"
"Alger County, Michigan",26003,Rural,55528.000000000,"2112 of 3142"
"Montgomery County, North Carolina",37123,Rural,55523.000000000,"2113 of 3142"
"Ohio County, West Virginia",54069,Urban,55521.000000000,"2114 of 3142"
"Pike County, Illinois",17149,Rural,55514.000000000,"2115 of 3142"
"Columbiana County, Ohio",39029,Rural,55473.000000000,"2116 of 3142"
"Gibson County, Tennessee",47053,Urban,55455.000000000,"2117 of 3142"
"Webster County, Kentucky",21233,Rural,55451.000000000,"2118 of 3142"
"Wilson County, Kansas",20205,Rural,55439.000000000,"2119 of 3142"
"Curry County, New Mexico",35009,Rural,55427.000000000,"2120 of 3142"
"Runnels County, Texas",48399,Rural,55424.000000000,"2121 of 3142"
"El Paso County, Texas",48141,Urban,55417.000000000,"2122 of 3142"
"Rapides Parish, Louisiana",22079,Urban,55407.000000000,"2123 of 3142"
"Saline County, Missouri",29195,Rural,55396.000000000,"2124 of 3142"
"Monroe County, Ohio",39111,Rural,55381.000000000,"2125 of 3142"
"Mobile County, Alabama",01097,Urban,55352.000000000,"2126 of 3142"
"Tyrrell County, North Carolina",37177,Rural,55341.000000000,"2127 of 3142"
"Upton County, Texas",48461,Rural,55284.000000000,"2128 of 3142"
"Atchison County, Kansas",20005,Rural,55281.000000000,"2129 of 3142"
"Madison County, Tennessee",47113,Urban,55280.000000000,"2130 of 3142"
"Tangipahoa Parish, Louisiana",22105,Urban,55274.000000000,"2131 of 3142"
"Marion County, Florida",12083,Urban,55265.000000000,"2132 of 3142"
"Allegany County, Maryland",24001,Rural,55248.000000000,"2133 of 3142"
"Coos County, New Hampshire",33007,Rural,55247.000000000,"2134 of 3142"
"Essex County, Vermont",50009,Rural,55247.000000000,"2134 of 3142"
"Gila County, Arizona",04007,Rural,55242.000000000,"2136 of 3142"
"Kanawha County, West Virginia",54039,Urban,55226.000000000,"2137 of 3142"
"Adams County, Wisconsin",55001,Rural,55223.000000000,"2138 of 3142"
"Evans County, Georgia",13109,Rural,55222.000000000,"2139 of 3142"
"Hampshire County, West Virginia",54027,Urban,55222.000000000,"2139 of 3142"
"Throckmorton County, Texas",48447,Rural,55221.000000000,"2141 of 3142"
"Harrison County, Mississippi",28047,Urban,55211.000000000,"2142 of 3142"
"Greer County, Oklahoma",40055,Rural,55204.000000000,"2143 of 3142"
"Iberia Parish, Louisiana",22045,Rural,55190.000000000,"2144 of 3142"
"Jackson County, West Virginia",54035,Rural,55173.000000000,"2145 of 3142"
"Craighead County, Arkansas",05031,Urban,55169.000000000,"2146 of 3142"
"Holt County, Missouri",29087,Rural,55153.000000000,"2147 of 3142"
"Liberty County, Georgia",13179,Urban,55149.000000000,"2148 of 3142"
"Taos County, New Mexico",35055,Rural,55145.000000000,"2149 of 3142"
"Marion County, Ohio",39101,Rural,55106.000000000,"2150 of 3142"
"Langlade County, Wisconsin",55067,Rural,55091.000000000,"2151 of 3142"
"Dewey County, South Dakota",46041,Rural,55077.000000000,"2152 of 3142"
"Schoolcraft County, Michigan",26153,Rural,55071.000000000,"2153 of 3142"
"Houston County, Alabama",01069,Urban,55064.000000000,"2154 of 3142"
"Allen County, Kansas",20001,Rural,55059.000000000,"2155 of 3142"
"Elmore County, Idaho",16039,Rural,55000.000000000,"2156 of 3142"
"Uvalde County, Texas",48463,Rural,55000.000000000,"2156 of 3142"
"Audubon County, Iowa",19009,Rural,54973.000000000,"2158 of 3142"
"Greene County, Missouri",29077,Urban,54968.000000000,"2159 of 3142"
"Jasper County, Missouri",29097,Urban,54963.000000000,"2160 of 3142"
"Modoc County, California",06049,Rural,54962.000000000,"2161 of 3142"
"Burt County, Nebraska",31021,Rural,54950.000000000,"2162 of 3142"
"Pitt County, North Carolina",37147,Urban,54915.000000000,"2163 of 3142"
"Henry County, Missouri",29083,Rural,54903.000000000,"2164 of 3142"
"Neosho County, Kansas",20133,Rural,54894.000000000,"2165 of 3142"
"Hamilton County, Texas",48193,Rural,54890.000000000,"2166 of 3142"
"Fall River County, South Dakota",46047,Rural,54886.000000000,"2167 of 3142"
"Greene County, Arkansas",05055,Rural,54879.000000000,"2168 of 3142"
"Musselshell County, Montana",30065,Rural,54875.000000000,"2169 of 3142"
"Osceola County, Michigan",26133,Rural,54875.000000000,"2169 of 3142"
"Logan County, Colorado",08075,Rural,54864.000000000,"2171 of 3142"
"Pierce County, Georgia",13229,Rural,54861.000000000,"2172 of 3142"
"Fannin County, Georgia",13111,Rural,54857.000000000,"2173 of 3142"
"Wayne County, Indiana",18177,Rural,54854.000000000,"2174 of 3142"
"San Jacinto County, Texas",48407,Urban,54839.000000000,"2175 of 3142"
"Golden Valley County, Montana",30037,Rural,54792.000000000,"2176 of 3142"
"Lawrence County, Alabama",01079,Urban,54786.000000000,"2177 of 3142"
"Oxford County, Maine",23017,Rural,54780.000000000,"2178 of 3142"
"Bradford County, Florida",12007,Rural,54759.000000000,"2179 of 3142"
"McDuffie County, Georgia",13189,Urban,54752.000000000,"2180 of 3142"
"Wadena County, Minnesota",27159,Rural,54747.000000000,"2181 of 3142"
"Idaho County, Idaho",16049,Rural,54745.000000000,"2182 of 3142"
"Irion County, Texas",48235,Urban,54708.000000000,"2183 of 3142"
"Baldwin County, Georgia",13009,Rural,54699.000000000,"2184 of 3142"
"Northampton County, Virginia",51131,Rural,54693.000000000,"2185 of 3142"
"Hickman County, Tennessee",47081,Urban,54669.000000000,"2186 of 3142"
"Lake County, Oregon",41037,Rural,54663.000000000,"2187 of 3142"
"Barton County, Kansas",20009,Rural,54634.000000000,"2188 of 3142"
"Chautauqua County, New York",36013,Rural,54625.000000000,"2189 of 3142"
"Scott County, Missouri",29201,Rural,54621.000000000,"2190 of 3142"
"White County, Illinois",17193,Rural,54605.000000000,"2191 of 3142"
"Bourbon County, Kentucky",21017,Urban,54580.000000000,"2192 of 3142"
"Gray County, Texas",48179,Rural,54563.000000000,"2193 of 3142"
"Muscogee County, Georgia",13215,Urban,54561.000000000,"2194 of 3142"
"Sullivan County, Indiana",18153,Urban,54556.000000000,"2195 of 3142"
"Republic County, Kansas",20157,Rural,54531.000000000,"2196 of 3142"
